flow_id,entry_id,classification,member_index,paragraph_id,stable_ref,canonical_length,display_joiner,speech_run_policy,suppress_next_leading_ranges
FLOW.T23.P019-P023..E0001,LDC.T23.E0001,inherited_dash_continuation,0,LDC.T23.E0001.P019,LDC.T23.E0001.P019,49,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P019-P023..E0001,LDC.T23.E0001,inherited_dash_continuation,1,LDC.T23.E0001.P020,LDC.T23.E0001.P020,22,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P019-P023..E0001,LDC.T23.E0001,inherited_dash_continuation,2,LDC.T23.E0001.P021,LDC.T23.E0001.P021,34,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P019-P023..E0001,LDC.T23.E0001,inherited_dash_continuation,3,LDC.T23.E0001.P022,LDC.T23.E0001.P022,31,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P019-P023..E0001,LDC.T23.E0001,inherited_dash_continuation,4,LDC.T23.E0001.P023,LDC.T23.E0001.P023,17,,,[]
FLOW.T23.P026-P028..E0001,LDC.T23.E0001,inherited_dash_continuation,0,LDC.T23.E0001.P026,LDC.T23.E0001.P026,57,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P026-P028..E0001,LDC.T23.E0001,inherited_dash_continuation,1,LDC.T23.E0001.P027,LDC.T23.E0001.P027,9,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P026-P028..E0001,LDC.T23.E0001,inherited_dash_continuation,2,LDC.T23.E0001.P028,LDC.T23.E0001.P028,115,,,[]
FLOW.T23.P030-P031..E0001,LDC.T23.E0001,inherited_dash_continuation,0,LDC.T23.E0001.P030,LDC.T23.E0001.P030,45,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T23.P030-P031..E0001,LDC.T23.E0001,inherited_dash_continuation,1,LDC.T23.E0001.P031,LDC.T23.E0001.P031,41,,,[]
FLOW.T23.P034-P037..E0001,LDC.T23.E0001,inherited_dash_continuation,0,LDC.T23.E0001.P034,LDC.T23.E0001.P034,32,space,continue_same_speaker_only,"[[0, 2]]"
